rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization
1,grandmaster,Chris Deotte,https://www.kaggle.com/cdeotte,59,18,3,4623,United States,California,San Diego,Data Scientist & Researcher,Nvidia
2,grandmaster,Abhishek Thakur,https://www.kaggle.com/abhishek,60,23,20,3765,Norway,Rogaland,Stavanger,AutoNLP,Hugging Face
3,master,Marília Prata,https://www.kaggle.com/mpwolke,11,29,295,2999,Brazil,State of Rio de Janeiro,Rio de Janeiro,Doctor of Dental Surgery,Self employed
4,grandmaster,DanB,https://www.kaggle.com/dansbecker,43,9,24,2615,United States,Colorado,Golden,Founder,decision.ai
5,grandmaster,Y.Nakama,https://www.kaggle.com/yasufuminakama,30,7,6,2220,Japan,Tokyo,Tokyo,Data Scientist,XXX
6,grandmaster,dataista0 (Julián Peller),https://www.kaggle.com/julian3833,18,15,14,2016,Argentina,Buenos Aires,Buenos Aires,Data scientist,Toptal
7,grandmaster,Andrada Olteanu,https://www.kaggle.com/andradaolteanu,28,5,5,1971,Romania,Bucharest,Bucharest,Data Scientist,Endava
8,grandmaster,Awsaf,https://www.kaggle.com/awsaf49,19,6,11,1907,Bangladesh,Dhaka Division,Dhaka,EEE Undergrad,BUET
9,grandmaster,Rob Mulla,https://www.kaggle.com/robikscube,28,15,44,1885,United States,District of Columbia,Washington,Tom,o
10,grandmaster,DATAI,https://www.kaggle.com/kanncaa1,19,7,7,1800,Turkey,Istanbul,Istanbul,EE,   
11,grandmaster,Carl McBride Ellis,https://www.kaggle.com/carlmcbrideellis,15,22,60,1745,Spain,Community of Madrid,Madrid,Independent contractor,remote
12,grandmaster,Subin An,https://www.kaggle.com/subinium,25,9,47,1665,South Korea,Seoul,Seoul,HCI Lab,Seoul National Univ.
13,grandmaster,Andrew Lukyanenko,https://www.kaggle.com/artgor,43,23,24,1655,Russia,UNKOWN,Moscow,R&D CV TechLead,deep learning
14,grandmaster,torch,https://www.kaggle.com/rhtsingh,15,2,15,1496,India,Uttar Pradesh,Noida,UNKOWN,UNKOWN
15,grandmaster,Vitalii Mokin,https://www.kaggle.com/vbmokin,20,15,63,1489,Ukraine,Vinnytsia Oblast,Vinnytsia,Professor,Vinnytsia National Technical University
16,grandmaster,Sanskar Hasija,https://www.kaggle.com/odins0n,17,11,3,1472,India,Maharashtra,Pune,Student,IIIT PUNE
17,grandmaster,Tensor Girl,https://www.kaggle.com/usharengaraju,17,0,0,1427,India,Karnataka,Bengaluru,Nobody,Nowhere
18,grandmaster,Mr_KnowNothing,https://www.kaggle.com/tanulsingh077,16,6,4,1424,United States,California,California City,Applied AI Research Engineer,LevelAI
19,grandmaster,xhlulu,https://www.kaggle.com/xhlulu,30,16,36,1409,Canada,Quebec,Montreal,🤓,🧠Mila
20,grandmaster,Bojan Tunguz,https://www.kaggle.com/tunguz,24,51,159,1406,United States,Indiana,Greencastle,Data Scientist,Nvidia
21,master,Remek Kinas,https://www.kaggle.com/remekkinas,12,16,3,1406,Poland,Masovian Voivodeship,Warsaw,AI independent consultant,ai5 (own business)
22,grandmaster,Martin Kovacevic Buvinic,https://www.kaggle.com/ragnar123,20,20,10,1386,Chile,Santiago Metropolitan Region,Santiago,Data Scientist,UNKOWN
23,grandmaster,Prashant Banerjee,https://www.kaggle.com/prashant111,30,13,0,1362,India,Haryana,Gurugram,Freelance Data Scientist,UNKOWN
24,grandmaster,Yaroslav Isaienkov,https://www.kaggle.com/ihelon,16,3,12,1334,Ukraine,Vinnytsia Oblast,Vinnytsia,Data Scientist,Onseo
25,grandmaster,chumajin,https://www.kaggle.com/chumajin,18,5,4,1288,Japan,Tokyo,Tokyo,Engineer,Japanese Company
